BTC,ETH,LINK,AAVE,XRP,SOL,MKR,DOGE,UNI
0.9183994872624515,0.5419077291328525,0.2001689067141617,0.4796233795386651,0.9921878903897107,0.9743682081802613,0.6855423879501945,0.3052592901885502,0.36197635025601477
0.7617075040716266,0.4462677643598544,0.2868507796111889,0.30940843179291383,0.4422133699775915,0.973172300719107,0.4382644248157308,0.5324021278753877,0.28393787240857626
0.3664062540654503,0.7378204684730432,0.9510455584054743,0.7801112959043837,0.5787180441307631,0.5921753292299278,0.9954428430613679,0.6745830953148897,0.7215881690963797
0.13443830983286825,0.3845029935358665,0.18597202876539776,0.8347604316474792,0.3380148433964527,0.5511142615814937,0.43084566120245016,0.4356602032681596,0.4127719536225377
0.06183699379927443,0.02459029118285593,0.12144760618616667,0.09390444316516063,0.11531676516706778,0.13025950749543833,0.30718857134781236,0.1629925129469261,0.043209018721309
0.17727641152451543,0.30555670630092274,0.28297573948328847,0.9120011650430254,0.610907505487555,0.9460734837599063,0.7023811455227646,0.18355477422062746,0.773588601183061
0.9634546675717153,0.8394430446411995,0.9426041645111934,0.945540726043269,0.7492898990271193,0.38213666832560816,0.6907464665970674,0.7998739606467886,0.9320669531998924
0.8520586739828573,0.8866375081033604,0.9065653632590097,0.5318354921484086,0.32719008804495037,0.18470922578651938,0.6770262538121368,0.8586715223277956,0.9179918123065466
0.09223378087652598,0.20027589474370452,0.9252565215566864,0.9195442533822831,0.19254360612313978,0.4034030328955271,0.19689193819789358,0.6015455461112268,0.8003615751895039
0.2963098252194239,0.7696304874241741,0.3679141601147431,0.8403873847270008,0.49209103755899175,0.8147884590259871,0.5129670002829729,0.44525439072601963,0.9250734266122123
0.450302568657027,0.5019206888747506,0.9399709515929383,0.6406251843892562,0.45757776118444315,0.9600142429787072,0.37528423426619956,0.4085052970126038,0.7349524505894598
0.7418004733793013,0.6399797808131811,0.2816638104340367,0.8266285574530016,0.6920069044556405,0.43224052781162225,0.38598177422357155,0.5832932269007314,0.8424616391589492
0.2660525645040614,0.9023086224617858,0.20543281648443545,0.16166435482273628,0.7011558361224854,0.2200275413328806,0.42132447618019,0.4569029603396977,0.22598498400127132
0.3644003009122423,0.5439974224042489,0.7707602890931602,0.7803924430210951,0.5507039701820446,0.6535380648470731,0.5524046132862193,0.5651545861643446,0.7225244252528811
0.006533490348319667,0.0014263732021309423,0.021606816585038234,0.010080247589048085,0.06923047444905768,0.0007816110094476708,0.00945611136252321,0.10372254993528164,0.02571492490308854
0.9147139454303713,0.898062800790354,0.9325478366643617,0.9543375399122423,0.6133974016095032,0.8127642374851065,0.9586009613174766,0.7669854658349746,0.9363461023933034
0.24390488796686285,0.48826679313596383,0.8929754133945392,0.8855290796252532,0.49513654342597524,0.6885375941328884,0.5325712896604142,0.5523093503851623,0.8994483097064703
0.5805632301834909,0.9342295057152536,0.49434968796598205,0.972568589661825,0.5601877123029678,0.6627233303049548,0.761380382627763,0.7281349759589575,0.9952625173856208
0.49812224032249824,0.21808931184542915,0.2507027058330691,0.27182918810037887,0.33416340003820055,0.6015836548291341,0.2126704069326794,0.25138691126547524,0.36737972612515013
0.5963721302180345,0.684026220604533,0.4443178533043115,0.8548109528126008,0.5306609717207503,0.9281833575005909,0.8425447693895327,0.4332942341418093,0.9678250003445116
0.06824559625739769,0.08022764734629714,0.09816499238852393,0.6166793469034164,0.10705493175100696,0.07966814680408851,0.10193659963450707,0.07793283909108845,0.8692931063045755
0.9703297813925013,0.832127179904908,0.877955585837955,0.6660631693108934,0.8498755220738686,0.6900405502396744,0.7632610967700109,0.9998876085633078,0.27128011338482444
0.76031315096613,0.7015591052019591,0.4378091068160829,0.35720702601919513,0.897840653365146,0.5351542986192176,0.5858762615047411,0.8889117711363428,0.9553692203055104
0.5160555739963651,0.4766599523756745,0.7202376015795839,0.8342171980869308,0.9992294598745699,0.956527172010958,0.9504174021042313,0.07041694246070757,0.9875938552286884
0.18183088899788308,0.19783343679679233,0.21439237485001705,0.28713771696564555,0.8807798297815643,0.5113563132671188,0.1954618833502618,0.6585241419236336,0.24734737658624203
0.6639650253556414,0.774301288088211,0.5925937753344424,0.4256544922207243,0.014756452305041036,0.9096212061788563,0.40896762345500126,0.31387769140614874,0.947771572287052
0.9163497967768913,0.936469551922776,0.7444547003890117,0.6237517093786255,0.5297569077560708,0.9613122490776842,0.9700576879968626,0.4996788312433991,0.196566276106557
0.9205394829528916,0.9245186907986919,0.8734098350638841,0.9933547235229359,0.7588267202663911,0.8433342174380157,0.7855134056660381,0.7953456605379599,0.6520312865089471
0.2908208857370253,0.23093399793857286,0.3029377745022978,0.9634875390506997,0.8792530066271503,0.9133809824022662,0.9802889578633274,0.9485947132112509,0.7952796175442132
0.8462841934023421,0.882408592152964,0.9257045621686038,0.7823074152340463,0.5804180497000585,0.6821211551872891,0.9871163607561345,0.33916893842058327,0.6411602562782245
0.7635489297056214,0.3223778004026571,0.17497845293645675,0.259955040500067,0.40921373398928784,0.09959569080301271,0.3541833349238876,0.8814354392709806,0.193064333498388
